file_label,file_size_bytes,strategy,ingest_time_s,download_time_s
100KB,100000,random,0.08030259999999956,0.3370799
100KB,100000,random,0.12133139999999987,0.04670790000000036
100KB,100000,random,0.051236099999999674,0.04379980000000039
100KB,100000,random,0.03000799999999959,0.043632399999999905
100KB,100000,random,0.030211999999999684,0.04665820000000043
100KB,100000,random,0.02948529999999927,0.042639799999999894
100KB,100000,random,0.028704799999999864,0.04456080000000018
100KB,100000,random,0.02774680000000007,0.04248750000000001
100KB,100000,random,0.06973889999999994,0.044058900000000456
100KB,100000,random,0.026415899999999937,0.047262799999999494
100KB,100000,random,0.028485099999999264,0.04276069999999965
100KB,100000,random,0.02764439999999979,0.11489729999999998
100KB,100000,random,0.03444559999999974,0.07370379999999965
100KB,100000,random,0.027632000000000545,0.06521299999999997
100KB,100000,random,0.04035339999999987,0.0672239999999995
100KB,100000,random,0.02652449999999984,0.04047020000000057
100KB,100000,random,0.02812530000000013,0.04629239999999957
100KB,100000,random,0.029250700000000407,0.04525760000000023
100KB,100000,random,0.04383969999999948,0.04745220000000039
100KB,100000,random,0.026753300000000202,0.06295309999999965
100KB,100000,random,0.03301740000000031,0.052894499999999844
100KB,100000,random,0.026161199999999774,0.04122970000000059
100KB,100000,random,0.028687900000000432,0.04317010000000021
100KB,100000,random,0.0305257000000001,0.06605579999999911
100KB,100000,random,0.030475299999999095,0.04109509999999972
100KB,100000,random,0.02890489999999879,0.0406095999999998
100KB,100000,random,0.03575470000000003,0.05084770000000027
100KB,100000,random,0.03452399999999933,0.04314390000000046
100KB,100000,random,0.026611600000000735,0.04029880000000041
100KB,100000,random,0.026945500000000067,0.043164499999999606
100KB,100000,random,0.040257199999999216,0.07215409999999878
100KB,100000,random,0.04429640000000035,0.06367770000000128
100KB,100000,random,0.04730510000000088,0.04604259999999982
100KB,100000,random,0.03870870000000082,0.04521080000000133
100KB,100000,random,0.029344800000000504,0.08426139999999904
100KB,100000,random,0.05513949999999923,0.04236120000000021
100KB,100000,random,0.02955400000000097,0.040513800000001154
100KB,100000,random,0.02916819999999909,0.0503101000000008
100KB,100000,random,0.027588299999999677,0.0410149999999998
100KB,100000,random,0.03143079999999898,0.047061400000000475
100KB,100000,random,0.044053599999999804,0.060446699999999964
100KB,100000,random,0.03601529999999897,0.05202910000000038
100KB,100000,random,0.030983899999998954,0.04675370000000001
100KB,100000,random,0.031225499999999684,0.05350929999999998
