file_label,file_size_bytes,strategy,ingest_time_s_mean,ingest_time_s_median,download_time_s_mean,download_time_s_median
100KB,100000,buddy,0.05739909800000002,0.0421750500000008,0.05784537299999992,0.05443519999999675
100KB,100000,min_copysets,0.04167903099999984,0.0330339500000018,0.055043060999999824,0.0503426499999992
100KB,100000,random,0.0683569629999998,0.033119200000000654,0.08865436599999998,0.0485081499999999
100MB,100000000,buddy,10.986210045000016,11.653455800000074,2.5068106669999795,2.4562227999997504
100MB,100000000,min_copysets,5.913210552000001,5.910629250000056,1.2863363059999962,1.000846099999876
100MB,100000000,random,6.163015182999999,5.9994437000000005,1.259584655999995,0.992566150000016
10MB,10000000,buddy,0.5496379750000022,0.36658660000000504,0.21491853200000033,0.12549030000002395
10MB,10000000,min_copysets,0.575026853000002,0.4715937000000139,0.19682498500000148,0.11829610000000905
10MB,10000000,random,0.5980475640000005,0.5065178999999986,0.20728708799999918,0.11284195000000345
1MB,1000000,buddy,0.0851790020000001,0.0609824000000003,0.070043143,0.0523705499999991
1MB,1000000,min_copysets,0.08881318500000031,0.05857649999999375,0.05814029799999996,0.052243650000001154
1MB,1000000,random,0.09420182499999985,0.068836700000002,0.11077310300000004,0.06397065000000166
