timestamp,file_id,filename,size_bytes,metric,value_sec
1763745234.793461,1,test4.pdf,113653,replication,69.95225477218628
1763747507.1726842,2,test4.pdf,113653,replication,0.07879066467285156
1763747525.159745,2,test4.pdf,113653,download,0.005986690521240234
1763747539.5828207,2,test4.pdf,113653,download,0.004986763000488281
1763747627.3858826,2,test4.pdf,113653,download,0.1570262908935547
1763747656.2777278,3,10mb.bin,10000000,replication,0.17137956619262695
1763747663.7524052,3,10mb.bin,10000000,download,0.03344392776489258
1763747809.4959872,3,10mb.bin,10000000,download,0.1592566967010498
1763751366.2406402,4,10mb.bin,10000000,replication,0.10345625877380371
1763751388.100931,4,10mb.bin,10000000,download,0.1663517951965332
1763751445.2722907,4,10mb.bin,10000000,download,0.2995009422302246
1763755467.0715446,1,10mb.bin,10000000,replication,0.2638206481933594
1763755494.0784762,1,10mb.bin,10000000,download,0.3074970245361328
1763821916.8366241,2,10mb.bin,10000000,replication,0.30600452423095703
1763821998.9446394,2,10mb.bin,10000000,download,0.1964893341064453
1763822042.4172685,2,10mb.bin,10000000,download,0.17219138145446777
1763825629.4799132,3,bench_100kB_0.bin,102400,replication,0.11710286140441895
1763825631.7340999,3,bench_100kB_0.bin,102400,download,2.236234664916992
1763825633.8857431,4,bench_100kB_1.bin,102400,replication,0.010970354080200195
1763825635.9962912,4,bench_100kB_1.bin,102400,download,2.1045613288879395
1763825638.36952,5,bench_100kB_2.bin,102400,replication,0.05385637283325195
1763825640.7977548,5,bench_100kB_2.bin,102400,download,2.426238775253296
1763825642.9677536,6,bench_100kB_3.bin,102400,replication,0.010971546173095703
1763825645.2019274,6,bench_100kB_3.bin,102400,download,2.2291858196258545
1763825647.3524408,7,bench_100kB_4.bin,102400,replication,0.008974313735961914
1763825649.4355898,7,bench_100kB_4.bin,102400,download,2.0781662464141846
1763825651.7254603,8,bench_100kB_5.bin,102400,replication,0.016495704650878906
1763825653.7680967,8,bench_100kB_5.bin,102400,download,2.041639566421509
1763825655.9088867,9,bench_100kB_6.bin,102400,replication,0.018950462341308594
1763825657.9803057,9,bench_100kB_6.bin,102400,download,2.0674304962158203
