file_label,file_size_bytes,strategy,ingest_time_s_mean,ingest_time_s_median,download_time_s_mean,download_time_s_median
100KB,100000,buddy,0.36971001399999837,0.23657355000000274,0.11912268100000173,0.05164659999999795
100KB,100000,min_copysets,0.13582824500000054,0.04755695000000055,0.06448811299999985,0.04832790000000385
100KB,100000,random,0.7032957639999996,0.6374075500000025,0.11800247200000015,0.07249840000000765
100MB,100000000,buddy,11.370602674000056,11.61392029999979,2.549210077999951,2.565629849999823
100MB,100000000,min_copysets,12.696524838000014,12.246204449999823,2.889845382999988,2.8909375999999156
100MB,100000000,random,16.842275373999993,14.978276100000016,3.9927139010000086,3.614119599999981
10MB,10000000,buddy,1.155325378,0.9485331500000028,0.21435823000000137,0.1564541500000018
10MB,10000000,min_copysets,1.0658702030000062,0.8788049999999998,0.29807104500000603,0.1738325000000031
10MB,10000000,random,0.9991350730000034,0.8849797000000308,0.3230372539999962,0.14661190000003896
1MB,1000000,buddy,0.14551670800000177,0.0440657000000044,0.0821584720000032,0.051182600000004144
1MB,1000000,min_copysets,0.3075222000000002,0.1780141499999956,0.07851913499999706,0.0519864500000011
1MB,1000000,random,0.36211058899999926,0.2521059999999977,0.10176864900000052,0.055912100000000395
