file_label,file_size_bytes,strategy,c,l,ingest_time_s,download_time_s
100KB,100000,random,4,2,0.6759917999152094,0.7395639999303967
100KB,100000,random,4,2,0.6380448000272736,0.6364194999914616
100KB,100000,random,4,2,0.671381700085476,0.6227462000679225
100KB,100000,random,4,2,0.6561769000254571,0.6326696000760421
100KB,100000,random,4,2,0.6367526999674737,0.6557355999248102
100KB,100000,random,4,2,0.6436565000331029,0.6068650999804959
100KB,100000,random,4,2,0.6326456000097096,0.6599486001068726
100KB,100000,random,4,2,0.6380761000327766,0.6390508000040427
100KB,100000,random,4,2,0.6708822000073269,0.6675651000114158
100KB,100000,random,4,2,0.6342140000779182,0.6489266999997199
100KB,100000,min_copysets,4,2,0.6627243999391794,0.6305171999847516
100KB,100000,min_copysets,4,2,0.6982255999464542,0.6454129999037832
100KB,100000,min_copysets,4,2,0.6736200000159442,0.6491564000025392
100KB,100000,min_copysets,4,2,0.7989735000301152,0.8141794999828562
100KB,100000,min_copysets,4,2,0.9800514999078587,0.9172015000367537
100KB,100000,min_copysets,4,2,0.9720025999704376,0.8582830999512225
100KB,100000,min_copysets,4,2,0.8283828001003712,0.7705625999951735
100KB,100000,min_copysets,4,2,0.8473924000281841,0.8138235999504104
100KB,100000,min_copysets,4,2,0.6795791999902576,0.6894114000024274
100KB,100000,min_copysets,4,2,0.6847380999242887,0.6809605000307783
100KB,100000,buddy,4,2,0.8290325000416487,0.8694465000880882
100KB,100000,buddy,4,2,0.8211957999737933,0.7868141999933869
100KB,100000,buddy,4,2,0.8030694000190124,0.8350420999340713
100KB,100000,buddy,4,2,0.919315000064671,0.8733526000287384
100KB,100000,buddy,4,2,0.8381791000720114,0.8129221999552101
100KB,100000,buddy,4,2,0.873245200025849,0.7793156000552699
100KB,100000,buddy,4,2,0.8706817999482155,0.809546299977228
100KB,100000,buddy,4,2,0.8014487000182271,0.9403007999062538
100KB,100000,buddy,4,2,0.8018786000320688,0.8814020999707282
100KB,100000,buddy,4,2,0.8461012999759987,0.8420869999099523
1MB,1000000,random,4,2,1.3211683999979869,0.8464651999529451
1MB,1000000,random,4,2,1.280659000040032,0.8036525000352412
1MB,1000000,random,4,2,1.4024110999889672,0.8245314999949187
1MB,1000000,random,4,2,1.3999182999832556,0.8874597999965772
1MB,1000000,random,4,2,1.4140974999172613,0.8837566999718547
1MB,1000000,random,4,2,1.386683499906212,0.8191564000444487
1MB,1000000,random,4,2,1.391984699992463,0.8856916999211535
1MB,1000000,random,4,2,1.2961330999387428,0.8751778999576345
1MB,1000000,random,4,2,1.4701281000161543,0.8437019999837503
1MB,1000000,random,4,2,1.3662366999778897,0.8131255999905989
1MB,1000000,min_copysets,4,2,1.3840804999927059,0.7830887000309303
