file_label,file_size_bytes,strategy,c,l,ingest_time_s,download_time_s
100MB,100000000,random,4,2,47.582365899928845,1.251448699971661
100MB,100000000,random,4,2,46.76832760008983,1.2360655999509618
100MB,100000000,random,4,2,51.533776100026444,1.6538997000316158
100MB,100000000,random,4,2,60.910530299996026,1.541075799963437
100MB,100000000,random,4,2,59.471298999967985,1.539545000065118
100MB,100000000,random,4,2,60.33218509994913,1.6610614999663085
100MB,100000000,random,4,2,60.0929838999873,1.619921800098382
100MB,100000000,random,4,2,60.07151909999084,1.7201182999415323
100MB,100000000,random,4,2,1347.0761654999806,1.6068322999635711
100MB,100000000,random,4,2,54.44820450001862,1.420642500044778
100MB,100000000,min_copysets,4,2,53.137012299965136,1.7034602999920025
100MB,100000000,min_copysets,4,2,51.87650860007852,1.7031792000634596
100MB,100000000,min_copysets,4,2,57.11381839995738,1.8001407999545336
100MB,100000000,min_copysets,4,2,58.92327450006269,1.6434697000076994
100MB,100000000,min_copysets,4,2,51.58015069994144,1.6203095000237226
100MB,100000000,min_copysets,4,2,58.882926799939014,1.7607324999989942
100MB,100000000,min_copysets,4,2,64.23761790001299,1.6637000000337139
100MB,100000000,min_copysets,4,2,55.365558599936776,1.2412222999846563
100MB,100000000,min_copysets,4,2,53.43016930005979,1.380655400105752
100MB,100000000,min_copysets,4,2,45.21746419998817,1.4314134999876842
100MB,100000000,buddy,4,2,64.4440083000809,1.7438665999798104
100MB,100000000,buddy,4,2,58.867712200037204,1.55597340001259
100MB,100000000,buddy,4,2,58.205271600047126,1.7445054999552667
100MB,100000000,buddy,4,2,67.62356259999797,1.8672701999312267
100MB,100000000,buddy,4,2,66.57997780002188,1.7205414000200108
100MB,100000000,buddy,4,2,64.16829329996835,1.7003766999114305
100MB,100000000,buddy,4,2,63.73527009994723,1.691833300050348
100MB,100000000,buddy,4,2,63.69459860003553,1.665984700084664
100MB,100000000,buddy,4,2,63.379011199926026,1.8048656999599189
100MB,100000000,buddy,4,2,64.90078310004901,1.8286890001036227
