file_label,file_size_bytes,strategy,ingest_time_s_mean,ingest_time_s_median,download_time_s_mean,download_time_s_median
100KB,100000,buddy,0.03723236900000002,0.0285274500000003,0.0466099789999999,0.04229079999999995
100KB,100000,min_copysets,0.03702296799999992,0.029575399999998753,0.04520010299999986,0.042194299999999296
100KB,100000,random,0.03643696600000005,0.0291061500000009,0.04829114600000001,0.04323359999999975
100MB,100000000,buddy,10.962548361000009,7.607520649999742,2.5844057450000038,1.9477777499998865
100MB,100000000,min_copysets,10.742670996999975,10.412555800000177,2.3395941640000024,2.2438876000001073
100MB,100000000,random,9.69327050299999,8.952031449999993,1.9846398269999996,1.6552272499999958
10MB,10000000,buddy,0.5421224999999982,0.4098823499999895,0.14481335800000064,0.10249520000002114
10MB,10000000,min_copysets,0.5665663010000003,0.4369622000000106,0.13920532999999888,0.1078636499999987
10MB,10000000,random,0.5235032059999994,0.4436632500000002,0.18498335900000082,0.11818390000000531
1MB,1000000,buddy,0.06371892599999977,0.047273300000004,0.05918889600000017,0.05372004999999895
1MB,1000000,min_copysets,0.06387342000000035,0.047958100000002404,0.05832323199999965,0.05029125000000425
1MB,1000000,random,0.07965904099999987,0.0565841999999996,0.07007283499999978,0.0599670000000003
