file_label,file_size_bytes,strategy,ingest_time_s,download_time_s
100KB,100000,random,0.035076799999999686,0.3422198999999999
100KB,100000,random,0.026862999999999637,0.04250639999999972
100KB,100000,random,0.0301528000000002,0.05390529999999982
100KB,100000,random,0.02686199999999994,0.046259599999999956
100KB,100000,random,0.026893100000000114,0.04014260000000025
100KB,100000,random,0.02689810000000037,0.0410655000000002
100KB,100000,random,0.026708399999999966,0.040039099999999994
100KB,100000,random,0.028931900000000343,0.04348160000000023
100KB,100000,random,0.026194199999999945,0.03975419999999996
100KB,100000,random,0.035823600000000067,0.040854899999999805
100KB,100000,random,0.02510969999999979,0.041259800000000624
100KB,100000,random,0.025397300000000733,0.038910099999999836
100KB,100000,random,0.025368800000000746,0.04692480000000021
100KB,100000,random,0.026375999999999955,0.04018820000000023
100KB,100000,random,0.026881100000000657,0.0481954
100KB,100000,random,0.0305743000000005,0.050382700000000114
100KB,100000,random,0.04694509999999941,0.061466099999999635
100KB,100000,random,0.030536099999999955,0.053156800000000004
100KB,100000,random,0.03307099999999963,0.058784399999999515
100KB,100000,random,0.04771959999999975,0.06684400000000057
100KB,100000,random,0.02792239999999957,0.04248570000000029
100KB,100000,random,0.0319629999999993,0.04661580000000054
100KB,100000,random,0.028023300000000084,0.04536270000000009
100KB,100000,random,0.027632800000000124,0.042504700000000284
100KB,100000,random,0.026556599999999264,0.04498449999999998
100KB,100000,random,0.0336369000000003,0.04226580000000002
100KB,100000,random,0.027045599999999226,0.049812399999999535
100KB,100000,random,0.032023700000000765,0.0501586000000005
100KB,100000,random,0.03672490000000028,0.04794609999999988
100KB,100000,random,0.028994200000000525,0.04393989999999981
100KB,100000,random,0.03164830000000052,0.0488976000000001
100KB,100000,random,0.029272600000000537,0.04086069999999964
100KB,100000,random,0.026293599999999806,0.04321550000000052
100KB,100000,random,0.025947900000000246,0.044327899999999865
100KB,100000,random,0.1899310999999999,0.05005550000000003
100KB,100000,random,0.03427730000000029,0.04186360000000011
100KB,100000,random,0.026312399999999236,0.03774630000000023
100KB,100000,random,0.04470910000000039,0.04948730000000001
100KB,100000,random,0.03033490000000061,0.03852999999999973
100KB,100000,random,0.02620859999999947,0.04190989999999939
100KB,100000,random,0.026808999999999195,0.04122539999999919
100KB,100000,random,0.03591289999999958,0.06814289999999978
100KB,100000,random,0.026335399999999787,0.04218149999999987
100KB,100000,random,0.024936199999999964,0.04510769999999997
